City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Discription
331,San Javier,ES,37.8063,-0.8374,89.64,68,40,5.99,scattered clouds
332,Petawawa,CA,45.9001,-77.3328,69.28,84,90,3.0,overcast clouds
333,Guerrero Negro,MX,27.9769,-114.0611,69.84,83,5,10.36,clear sky
334,Rio Claro,BR,-22.4114,-47.5614,75.02,38,5,9.55,clear sky
335,Kununurra,AU,-15.7667,128.7333,58.98,67,6,0.0,clear sky
336,Slubice,PL,52.3509,14.5607,77.38,44,82,11.79,broken clouds
337,Ixtapa,MX,20.7,-105.2,77.23,88,40,3.44,scattered clouds
338,Shingu,JP,33.7333,135.9833,78.91,89,100,4.36,overcast clouds
339,Koslan,RU,63.4564,48.8989,66.65,45,100,3.22,overcast clouds
340,Dongsheng,CN,39.8161,109.9776,70.39,56,2,9.26,clear sky
341,Tagusao,PH,9.1924,117.8141,80.74,85,100,6.35,overcast clouds
342,Vardo,NO,70.3705,31.1107,70.0,72,4,10.56,clear sky
343,Atambua,ID,-9.1061,124.8925,68.61,84,41,5.35,scattered clouds
344,League City,US,29.5075,-95.0949,89.24,76,20,5.01,few clouds
345,Shimoda,JP,34.6667,138.95,80.82,90,100,15.43,overcast clouds
346,Turlock,US,37.4947,-120.8466,67.23,68,1,3.44,clear sky
347,Alofi,NU,-19.0595,-169.9187,73.29,78,96,8.05,overcast clouds
348,Kenai,US,60.5544,-151.2583,53.15,93,90,6.91,moderate rain
349,Bundaberg,AU,-24.85,152.35,56.21,90,1,1.99,clear sky
350,Tessalit,ML,20.1986,1.0114,102.61,23,62,15.79,broken clouds
351,Ostrovnoy,RU,68.0531,39.5131,64.4,56,64,12.57,broken clouds
352,Shiraoi,JP,42.55,141.35,73.58,89,100,6.33,overcast clouds
353,Opuwo,NA,-18.0607,13.84,84.94,9,5,6.51,clear sky
354,Caltenco,MX,18.9,-97.8,57.97,76,68,1.74,broken clouds
355,Torgelow,DE,53.6333,14.0167,77.5,62,73,14.16,broken clouds
356,Bolshaya Sosnova,RU,57.6713,54.6029,68.63,50,15,8.03,few clouds
